Nº,Fecha y Hora de Registro,Velocidad (Km/h),Latitud,Longitud,FechaHora,Dia,delta_t_s,delta_v,delta_lat,delta_lon
1,2025-12-19 06:18:01,32.0,-0.3339444444444444,-78.44121777777778,2025-12-19 06:18:01,2025-12-19,3.091042453358316,13.333333333333332,0.001,0.001
26,2025-12-19 06:18:25,56.0,-0.3899505555555556,-78.51952,2025-12-19 06:18:25,2025-12-19,3.218875824868201,2.6666666666666643,-0.001,-0.001
17,2025-12-19 06:18:26,37.0,-0.3338955555555555,-78.4396,2025-12-19 06:18:26,2025-12-19,0.6931471805599453,1.6666666666666714,0.001,0.001
29,2025-12-19 06:18:42,37.0,-0.3858538888888889,-78.52221333333334,2025-12-19 06:18:42,2025-12-19,2.833213344056216,-0.6666666666666714,-0.001,-0.001
28,2025-12-19 06:19:10,54.0,-0.4066622222222222,-78.54282666666667,2025-12-19 06:19:10,2025-12-19,3.367295829986474,-10.0,-0.001,-0.001
12,2025-12-19 06:19:20,7.0,-0.3383716666666667,-78.44510222222222,2025-12-19 06:19:20,2025-12-19,2.3978952727983707,-9.999999999999996,0.001,0.001
18,2025-12-19 06:19:35,7.0,-0.2955244444444444,-78.46194666666666,2025-12-19 06:19:35,2025-12-19,2.772588722239781,-12.666666666666668,0.001,-0.001
10,2025-12-19 06:19:43,16.0,-0.3680833333333333,-78.47718222222223,2025-12-19 06:19:43,2025-12-19,2.19722457733622,3.0,-0.001,-0.001
8,2025-12-19 06:19:48,16.0,-0.3679305555555555,-78.47704,2025-12-19 06:19:48,2025-12-19,1.791759469228055,14.0,0.0001527777777778,0.0001422222222231
16,2025-12-19 06:20:05,49.0,-0.4119016666666666,-78.54672,2025-12-19 06:20:05,2025-12-19,2.8903717578961645,6.333333333333336,-0.001,-0.001
6,2025-12-19 06:20:10,35.0,-0.4120988888888889,-78.5472,2025-12-19 06:20:10,2025-12-19,1.791759469228055,5.333333333333329,-0.0001972222222222,-0.0004800000000102
12,2025-12-19 06:20:19,32.0,-0.4116861111111111,-78.54755555555556,2025-12-19 06:20:19,2025-12-19,2.302585092994046,-12.999999999999996,0.0004127777777778,-0.0003555555555578
27,2025-12-19 06:21:12,10.0,-0.3892688888888889,-78.52060444444444,2025-12-19 06:21:12,2025-12-19,3.9889840465642745,-2.666666666666668,0.001,0.001
5,2025-12-19 06:21:31,27.0,-0.3890716666666666,-78.51937777777778,2025-12-19 06:21:31,2025-12-19,2.995732273553991,11.666666666666664,0.0001972222222222,0.001
13,2025-12-19 06:21:38,67.0,-0.2909455555555555,-78.4648888888889,2025-12-19 06:21:38,2025-12-19,2.079441541679836,3.333333333333336,0.001,0.001
14,2025-12-19 06:21:46,20.0,-0.372725,-78.48827555555556,2025-12-19 06:21:46,2025-12-19,2.19722457733622,-5.333333333333336,-0.001,-0.001
30,2025-12-19 06:21:55,11.0,-0.3960388888888889,-78.52884444444445,2025-12-19 06:21:55,2025-12-19,2.302585092994046,-13.666666666666664,-0.001,-0.001
9,2025-12-19 06:22:27,26.0,-0.3447594444444444,-78.45573333333333,2025-12-19 06:22:27,2025-12-19,3.49650756146648,-1.666666666666668,0.001,0.001
20,2025-12-19 06:22:31,15.0,-0.3230855555555555,-78.44091555555555,2025-12-19 06:22:31,2025-12-19,1.6094379124341005,12.0,0.001,0.001
1,2025-12-19 06:23:00,47.0,-0.2792138888888889,-78.47696,2025-12-19 06:23:00,2025-12-19,3.4011973816621555,-8.666666666666664,0.001,-0.001
17,2025-12-19 06:23:04,0.0,-0.2999222222222222,-78.45896888888889,2025-12-19 06:23:04,2025-12-19,1.6094379124341005,-1.0,-0.001,0.001
21,2025-12-19 06:23:31,12.0,-0.3714522222222222,-78.48584,2025-12-19 06:23:31,2025-12-19,3.332204510175204,-6.000000000000002,-0.001,-0.001
10,2025-12-19 06:23:45,29.0,-0.3787672222222222,-78.50450666666667,2025-12-19 06:23:45,2025-12-19,2.70805020110221,7.000000000000002,-0.001,-0.001
9,2025-12-19 06:23:51,21.0,-0.2984955555555555,-78.46012444444445,2025-12-19 06:23:51,2025-12-19,1.9459101490553128,11.333333333333332,0.001,0.001
18,2025-12-19 06:24:18,46.0,-0.2793,-78.47636444444444,2025-12-19 06:24:18,2025-12-19,3.332204510175204,13.0,0.001,-0.001
20,2025-12-19 06:24:36,68.0,-0.2942694444444444,-78.46274666666666,2025-12-19 06:24:36,2025-12-19,2.9444389791664403,-0.3333333333333357,-0.001,0.001
14,2025-12-19 06:24:58,20.0,-0.386565,-78.51192888888889,2025-12-19 06:24:58,2025-12-19,3.1354942159291497,4.666666666666671,-0.001,-0.001
8,2025-12-19 06:25:28,60.0,-0.2768455555555555,-78.48617777777778,2025-12-19 06:25:28,2025-12-19,3.4339872044851463,-3.333333333333336,0.001,0.001
27,2025-12-19 06:25:57,58.0,-0.3065038888888889,-78.44934222222223,2025-12-19 06:25:57,2025-12-19,3.4011973816621555,9.333333333333336,-0.001,0.001
9,2025-12-19 06:25:58,48.0,-0.3505566666666667,-78.46329777777778,2025-12-19 06:25:58,2025-12-19,0.6931471805599453,-5.666666666666671,-0.001,-0.001
28,2025-12-19 06:26:15,43.0,-0.2688655555555556,-78.48685333333333,2025-12-19 06:26:15,2025-12-19,2.8903717578961645,-8.0,0.001,-0.001
23,2025-12-19 06:26:41,34.0,-0.3024472222222222,-78.45597333333333,2025-12-19 06:26:41,2025-12-19,3.295836866004329,-7.666666666666664,-0.001,0.001
13,2025-12-19 06:27:15,25.0,-0.408125,-78.54668444444444,2025-12-19 06:27:15,2025-12-19,3.555348061489413,-11.333333333333332,-0.001,-0.001
15,2025-12-19 06:27:23,9.0,-0.34587,-78.45779555555555,2025-12-19 06:27:23,2025-12-19,2.19722457733622,-7.000000000000002,0.001,0.001
15,2025-12-19 06:27:30,13.0,-0.4073966666666667,-78.54675555555555,2025-12-19 06:27:30,2025-12-19,2.079441541679836,-5.0,-0.001,-0.001
2,2025-12-19 06:28:05,10.0,-0.3776694444444444,-78.5024711111111,2025-12-19 06:28:05,2025-12-19,3.58351893845611,5.0,0.001,0.001
24,2025-12-19 06:28:11,24.0,-0.3674483333333333,-78.47664888888889,2025-12-19 06:28:11,2025-12-19,1.9459101490553128,14.666666666666666,0.001,0.001
11,2025-12-19 06:28:20,57.0,-0.2546288888888889,-78.48386666666667,2025-12-19 06:28:20,2025-12-19,2.302585092994046,14.000000000000004,0.001,-0.001
13,2025-12-19 06:28:22,52.0,-0.3339477777777778,-78.43697777777778,2025-12-19 06:28:22,2025-12-19,1.0986122886681098,10.333333333333329,-0.001,0.001
1,2025-12-19 06:28:26,55.0,-0.2607716666666667,-78.48805333333334,2025-12-19 06:28:26,2025-12-19,1.6094379124341005,-3.666666666666664,0.001,-0.001
11,2025-12-19 06:28:27,46.0,-0.3998866666666666,-78.53248,2025-12-19 06:28:27,2025-12-19,0.6931471805599453,-3.666666666666664,-0.001,-0.001
24,2025-12-19 06:28:32,41.0,-0.3332561111111111,-78.43578666666667,2025-12-19 06:28:32,2025-12-19,1.791759469228055,-5.333333333333336,0.001,0.001
27,2025-12-19 06:28:40,39.0,-0.375805,-78.49811555555556,2025-12-19 06:28:40,2025-12-19,2.19722457733622,-1.3333333333333357,-0.001,-0.001
10,2025-12-19 06:28:52,42.0,-0.3986594444444444,-78.53133333333334,2025-12-19 06:28:52,2025-12-19,2.5649493574615367,-6.666666666666664,-0.001,-0.001
4,2025-12-19 06:28:57,21.0,-0.3661388888888889,-78.4756,2025-12-19 06:28:57,2025-12-19,1.791759469228055,6.0,0.001,0.001
12,2025-12-19 06:29:15,57.0,-0.2543355555555555,-78.48380444444444,2025-12-19 06:29:15,2025-12-19,2.9444389791664403,1.6666666666666643,0.001,-0.001
13,2025-12-19 06:29:26,47.0,-0.2979527777777778,-78.46059555555556,2025-12-19 06:29:26,2025-12-19,2.4849066497880004,13.0,-0.001,0.001
3,2025-12-19 06:29:42,60.0,-0.3632583333333333,-78.47331555555556,2025-12-19 06:29:42,2025-12-19,2.833213344056216,-10.0,-0.001,-0.001
4,2025-12-19 06:29:53,27.0,-0.3408166666666666,-78.44837333333334,2025-12-19 06:29:53,2025-12-19,2.4849066497880004,-12.333333333333329,0.001,0.001
12,2025-12-19 06:29:53,10.0,-0.3959844444444444,-78.53003555555556,2025-12-19 06:29:53,2025-12-19,0.0,-3.666666666666668,-0.001,-0.001
8,2025-12-19 06:30:15,49.0,-0.2455838888888888,-78.48489777777777,2025-12-19 06:30:15,2025-12-19,3.1354942159291497,12.999999999999996,0.001,0.001
24,2025-12-19 06:30:16,66.0,-0.2617605555555555,-78.48821333333333,2025-12-19 06:30:16,2025-12-19,0.6931471805599453,3.333333333333336,-0.001,-0.001
13,2025-12-19 06:30:40,20.0,-0.300075,-78.45890666666666,2025-12-19 06:30:40,2025-12-19,3.218875824868201,-9.666666666666664,-0.001,0.001
14,2025-12-19 06:31:15,20.0,-0.4046027777777777,-78.54493333333333,2025-12-19 06:31:15,2025-12-19,3.58351893845611,-3.0,-0.001,-0.001
16,2025-12-19 06:31:51,57.0,-0.2846077777777778,-78.46920888888889,2025-12-19 06:31:51,2025-12-19,3.610917912644224,1.3333333333333286,0.001,0.001
29,2025-12-19 06:32:05,24.0,-0.2409761111111111,-78.48555555555555,2025-12-19 06:32:05,2025-12-19,2.70805020110221,6.333333333333336,0.001,-0.001
20,2025-12-19 06:32:17,39.0,-0.35421,-78.46616888888889,2025-12-19 06:32:17,2025-12-19,2.5649493574615367,-10.0,-0.001,0.001
3,2025-12-19 06:32:20,27.0,-0.2969627777777778,-78.46136888888888,2025-12-19 06:32:20,2025-12-19,1.3862943611198906,0.6666666666666679,0.001,0.001
12,2025-12-19 06:32:25,26.0,-0.2966427777777777,-78.46151111111111,2025-12-19 06:32:25,2025-12-19,1.791759469228055,-6.0,0.00032,-0.0001422222222231
16,2025-12-19 06:32:36,21.0,-0.2407605555555555,-78.48545777777778,2025-12-19 06:32:36,2025-12-19,2.4849066497880004,-6.0,0.001,-0.001
14,2025-12-19 06:32:45,9.0,-0.3709983333333333,-78.48476444444445,2025-12-19 06:32:45,2025-12-19,2.302585092994046,12.333333333333332,-0.001,0.0006933333333307
28,2025-12-19 06:33:15,63.0,-0.2927538888888888,-78.46373333333334,2025-12-19 06:33:15,2025-12-19,3.4339872044851463,1.0,0.001,0.001
28,2025-12-19 06:33:45,24.0,-0.4025661111111111,-78.53437333333333,2025-12-19 06:33:45,2025-12-19,3.4339872044851463,3.333333333333336,-0.001,-0.001
25,2025-12-19 06:33:48,19.0,-0.3875483333333333,-78.5234488888889,2025-12-19 06:33:48,2025-12-19,1.3862943611198906,-14.666666666666668,0.001,0.001
8,2025-12-19 06:34:01,19.0,-0.4042472222222222,-78.54212444444444,2025-12-19 06:34:01,2025-12-19,2.6390573296152584,-5.333333333333334,-0.001,-0.001
26,2025-12-19 06:34:07,8.0,-0.2424161111111111,-78.48539555555556,2025-12-19 06:34:07,2025-12-19,1.9459101490553128,-3.333333333333334,0.001,0.001
26,2025-12-19 06:34:21,9.0,-0.2421883333333333,-78.48543111111111,2025-12-19 06:34:21,2025-12-19,2.70805020110221,8.333333333333332,0.0002277777777777,-3.555555555578849e-05
1,2025-12-19 06:34:36,44.0,-0.3461366666666666,-78.45828444444444,2025-12-19 06:34:36,2025-12-19,2.772588722239781,13.333333333333332,-0.001,0.001
2,2025-12-19 06:34:50,48.0,-0.2825427777777777,-78.47044444444444,2025-12-19 06:34:50,2025-12-19,2.70805020110221,-0.6666666666666643,0.001,-0.001
9,2025-12-19 06:35:05,7.0,-0.3339483333333333,-78.44145777777777,2025-12-19 06:35:05,2025-12-19,2.772588722239781,-6.666666666666668,-0.001,0.001
7,2025-12-19 06:35:10,24.0,-0.3339661111111111,-78.44128,2025-12-19 06:35:10,2025-12-19,1.791759469228055,1.666666666666668,-1.777777777778322e-05,0.0001777777777647
24,2025-12-19 06:35:16,53.0,-0.2768177777777778,-78.48618666666667,2025-12-19 06:35:16,2025-12-19,1.9459101490553128,6.0,0.001,-0.001
7,2025-12-19 06:35:37,25.0,-0.3867405555555555,-78.52200888888889,2025-12-19 06:35:37,2025-12-19,3.091042453358316,-3.333333333333332,-0.001,-0.001
22,2025-12-19 06:35:40,14.0,-0.39603,-78.53009777777778,2025-12-19 06:35:40,2025-12-19,1.3862943611198906,-2.333333333333336,-0.001,-0.001
9,2025-12-19 06:35:51,46.0,-0.4032522222222222,-78.53555555555556,2025-12-19 06:35:51,2025-12-19,2.4849066497880004,-3.666666666666664,-0.001,-0.001
18,2025-12-19 06:36:30,14.0,-0.3683883333333333,-78.47746666666667,2025-12-19 06:36:30,2025-12-19,3.688879454113936,-1.3333333333333357,0.001,0.001
19,2025-12-19 06:36:47,10.0,-0.3887955555555555,-78.52140444444444,2025-12-19 06:36:47,2025-12-19,2.8903717578961645,-9.999999999999998,-0.001,-0.001
27,2025-12-19 06:36:55,16.0,-0.2272172222222222,-78.49146666666667,2025-12-19 06:36:55,2025-12-19,2.19722457733622,14.666666666666666,0.001,0.001
1,2025-12-19 06:36:56,58.0,-0.2786738888888889,-78.48010666666667,2025-12-19 06:36:56,2025-12-19,0.6931471805599453,6.0,-0.001,0.001
6,2025-12-19 06:37:05,28.0,-0.3768,-78.50176,2025-12-19 06:37:05,2025-12-19,2.302585092994046,0.3333333333333357,-0.001,-0.001
16,2025-12-19 06:38:12,17.0,-0.2272144444444444,-78.49138666666667,2025-12-19 06:38:12,2025-12-19,4.219507705176107,-9.000000000000004,0.001,0.001
3,2025-12-19 06:38:21,31.0,-0.2332344444444444,-78.48429333333333,2025-12-19 06:38:21,2025-12-19,2.302585092994046,-5.333333333333332,-0.001,0.001
5,2025-12-19 06:38:40,12.0,-0.3649538888888889,-78.4746488888889,2025-12-19 06:38:40,2025-12-19,2.995732273553991,0.3333333333333321,-0.001,0.001
22,2025-12-19 06:39:02,18.0,-0.3398155555555555,-78.44675555555555,2025-12-19 06:39:02,2025-12-19,3.1354942159291497,7.0,0.001,0.001
3,2025-12-19 06:39:19,52.0,-0.3727444444444444,-78.48830222222222,2025-12-19 06:39:19,2025-12-19,2.8903717578961645,4.666666666666668,-0.001,-0.001
20,2025-12-19 06:39:30,26.0,-0.2302388888888888,-78.49800888888889,2025-12-19 06:39:30,2025-12-19,2.4849066497880004,0.6666666666666643,0.001,-0.001
16,2025-12-19 06:39:54,20.0,-0.3715977777777778,-78.48613333333333,2025-12-19 06:39:54,2025-12-19,3.218875824868201,-7.666666666666664,-0.001,0.001
19,2025-12-19 06:40:02,29.0,-0.3892944444444444,-78.52470222222222,2025-12-19 06:40:02,2025-12-19,2.19722457733622,5.0,-0.001,-0.001
1,2025-12-19 06:40:16,41.0,-0.2523794444444444,-78.48293333333334,2025-12-19 06:40:16,2025-12-19,2.70805020110221,0.6666666666666679,0.001,0.001
3,2025-12-19 06:40:20,22.0,-0.3859916666666667,-78.52232,2025-12-19 06:40:20,2025-12-19,1.6094379124341005,6.666666666666668,-0.001,-0.001
1,2025-12-19 06:40:26,49.0,-0.2512827777777778,-78.48269333333333,2025-12-19 06:40:26,2025-12-19,1.9459101490553128,-8.333333333333336,0.001,0.001
20,2025-12-19 06:40:37,16.0,-0.2306444444444444,-78.49843555555556,2025-12-19 06:40:37,2025-12-19,2.4849066497880004,-4.333333333333332,0.001,-0.001
28,2025-12-19 06:40:40,9.0,-0.4066555555555555,-78.54642666666666,2025-12-19 06:40:40,2025-12-19,1.3862943611198906,-11.666666666666668,-0.001,-0.001
15,2025-12-19 06:41:00,14.0,-0.3855872222222222,-78.52167111111112,2025-12-19 06:41:00,2025-12-19,3.044522437723423,-2.0,0.001,0.001
15,2025-12-19 06:41:06,10.0,-0.3156027777777778,-78.44203555555555,2025-12-19 06:41:06,2025-12-19,1.9459101490553128,15.333333333333332,0.001,0.001
27,2025-12-19 06:41:15,55.0,-0.4064683333333333,-78.54436444444444,2025-12-19 06:41:15,2025-12-19,2.302585092994046,6.000000000000004,-0.001,-0.001
23,2025-12-19 06:41:29,32.0,-0.3706388888888889,-78.48368888888889,2025-12-19 06:41:29,2025-12-19,2.70805020110221,7.333333333333329,0.001,0.001
30,2025-12-19 06:41:55,32.0,-0.3587616666666666,-78.4697688888889,2025-12-19 06:41:55,2025-12-19,3.295836866004329,-11.999999999999996,0.001,0.001
28,2025-12-19 06:42:02,19.0,-0.3649161111111111,-78.47464,2025-12-19 06:42:02,2025-12-19,2.079441541679836,-4.0,-0.001,-0.001
18,2025-12-19 06:42:10,20.0,-0.3874955555555555,-78.52257777777778,2025-12-19 06:42:10,2025-12-19,2.19722457733622,-7.333333333333336,-0.001,-0.001
8,2025-12-19 06:42:12,10.0,-0.3865372222222222,-78.51260444444445,2025-12-19 06:42:12,2025-12-19,1.0986122886681098,-1.9999999999999984,0.0009583333333332,0.001
28,2025-12-19 06:42:24,13.0,-0.3855244444444444,-78.52184,2025-12-19 06:42:24,2025-12-19,2.5649493574615367,-3.666666666666668,0.001,-0.001
21,2025-12-19 06:42:32,9.0,-0.2319427777777777,-78.50368888888889,2025-12-19 06:42:32,2025-12-19,2.19722457733622,-1.0,0.001,0.001
